2016-08-03 01:45:14 101.226.89.116  browse   danmaku.us Main.HomePage "http://www.bilibili.com/video/av39444/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:17 101.226.33.237  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:35 101.226.125.105 browse   danmaku.us Main.HomePage "http://danmaku.us/Acfun2/1196" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:47 101.226.33.228  browse   danmaku.us AcfunN1.HomePage "http://danmaku.us/Acfun2/1196" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:51 101.226.99.195  browse   danmaku.us Main.HomePage "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:52 101.226.33.203  browse   danmaku.us Main.HomePage "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:52 180.153.206.19  browse   danmaku.us Main.HomePage "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:53 112.65.193.13   browse   danmaku.us Main.HomePage "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:45:54 180.153.214.191 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:46:01 101.226.89.123  browse   danmaku.us Main.HomePage "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:46:06 101.226.125.105 browse   danmaku.us AcfunN1.1003 "http://danmaku.us/AcfunN1/1003" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:46:25 171.43.74.207   browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
2016-08-03 01:46:51 171.43.74.207   browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
2016-08-03 01:48:33 113.121.243.162 browse   danmaku.us Main.HomePage "http://www.bilibili.com/video/av39444/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:02 113.121.243.162 browse   danmaku.us Bilibili2.HomePage "http://danmaku.us/pmfun/Acfun2/1078?Player=acold" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:26 113.121.243.162 browse   danmaku.us Bilibili2.1107 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:33 46.119.112.23   browse   danmaku.us . "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:34 46.119.112.23   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:34 46.119.112.23   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:35 46.119.112.23   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:35 46.119.112.23   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:36 46.119.112.23   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32"
2016-08-03 01:49:45 113.121.243.162 browse   danmaku.us Bilibili2.RecentChanges "http://danmaku.us/Bilibili2/1107" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:48 113.121.243.162 browse   danmaku.us Bilibili2.1107 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:52 113.121.243.162 browse   danmaku.us Twodland1.HomePage "http://danmaku.us/Bilibili2/1107" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:49:59 113.121.243.162 browse   danmaku.us Twodland1.1001 "http://danmaku.us/Twodland1/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:03 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:03 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:03 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:03 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:04 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:12 113.121.243.162 browse   danmaku.us Twodland1.1001 "http://danmaku.us/Twodland1/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:15 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:15 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:15 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:15 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:15 113.121.243.162 browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:25 113.121.243.162 browse   danmaku.us Bilibili2.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:28 113.121.243.162 browse   danmaku.us Bilibili2.1107 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-08-03 01:50:45 171.43.74.207   browse   danmaku.us Bilibili2.1022 "http://tieba.baidu.com/p/1315760517" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
2016-08-03 01:52:03 101.226.125.16  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:52:27 140.207.185.111 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:52:36 180.153.214.192 browse   danmaku.us Bilibili2.1107 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:52:45 101.226.51.226  browse   danmaku.us Bilibili2.RecentChanges "http://danmaku.us/Bilibili2/1107" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:52:52 140.207.185.112 browse   danmaku.us Twodland1.HomePage "http://danmaku.us/Bilibili2/1107" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:53:02 101.226.33.226  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:53:03 117.185.27.113  browse   danmaku.us Main.HomePage "http://danmaku.us/Twodland1/1001" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 01:53:05 61.151.218.119  browse   danmaku.us Twodland1.1001 "http://danmaku.us/Twodland1/HomePage" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
2016-08-03 02:00:25 42.120.161.95   browse   danmaku.us Acfun2.1062 "" "YisouSpider"
2016-08-03 02:00:25 42.156.139.95   edit     danmaku.us Site.Preferences "" "YisouSpider"
2016-08-03 02:03:23 180.76.15.24    browse   danmaku.us Acfun2.1189 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-08-03 02:03:40 115.28.93.53    browse   danmaku.us Main.FNQ "http://www.baidu.com, http://www.baidu.com, http://www.baidu.com, http://www.baidu.com, http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
2016-08-03 02:08:45 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:46 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:48 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
2016-08-03 02:08:49 119.178.95.134  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
